"","date","grimm_pm10","n_0044","n_0075","n_0100","n_0120","n_0140","n_0200","n_0250","n_0500","n_0750","n_1000","ws","mws","wd","temp","rh","pres","prec","poj_h","n_0250_m","n_0500_m","n_0200_m","n_0100_m","n_0200_mm","n_0075_c","n_0140_c","n_0500_c","n_1000_c","wday","hour"
"1",2022-03-28 11:00:00,34.6,57.9964531554073,10.3211687517376,0.584298860161245,0.104822073950514,0.0740136224631637,0.152651932165694,0.044417848206839,0.081418682235196,0.0127864887406172,0.00556964136780651,3.9316666666667,6.8,263,17.273333333333,22.595,993.15666666667,0,3000,0.960204336947456,0.125836530442035,0.915786488740617,10.9054676118988,0.331487628579372,68.3176219071448,0.178835696413678,0.125836530442035,0.0183561301084237,"1","11"
"2",2022-03-28 12:00:00,35.1,47.6371287541713,10.2489374304783,0.618168242491657,0.106630978865406,0.068043659621802,0.145463292547275,0.0468103448275862,0.0893150723025584,0.0146412680756396,0.00631979977753059,4.04,7.3,275,18.193333333333,23.261666666667,991.915,0,3000,0.985116518353726,0.136125417130145,0.93830617352614,10.86710567297,0.320137931034483,57.8860661846496,0.174674638487208,0.136125417130145,0.0209610678531702,"1","12"
"3",2022-03-28 13:00:00,29.4,40.8488276341396,8.70118265221017,0.550166527661941,0.106687239366138,0.0638273561301084,0.140848206839033,0.0487228245760356,0.0992735613010842,0.0157489574645538,0.00584514873505699,3.865,6.1,267,18.945,22.215,990.86166666667,0,3000,0.910252154573255,0.14799638587712,0.86152932999722,9.25134917987211,0.311362802335279,49.5500102863497,0.170514595496247,0.14799638587712,0.0215941061996108,"1","13"
"4",2022-03-28 14:00:00,22.8,33.9511112037809,6.58265526827912,0.496886850152905,0.0996939115929942,0.0597055879899917,0.12858326383097,0.0436341395607451,0.0900514317486795,0.0157878787878788,0.00692827356130108,3.7033333333333,6.2,276,19.048333333333,21.395,989.89,0,3000,0.828503753127606,0.133685571309425,0.784869613566861,7.07954211843203,0.287982763413956,40.53376647206,0.159399499582986,0.133685571309425,0.0227161523491799,"1","14"
"5",2022-03-28 15:00:00,25.1,38.2935829858215,6.87339115929942,0.52249457881568,0.105824298026133,0.0625688073394495,0.124686127328329,0.038333889352238,0.0780489296636086,0.0137692521545733,0.00577564637197665,3.565,5.7,283,18.91,22.16,989.125,0,3000,0.853907700861829,0.116382819015847,0.815573811509591,7.3958857381151,0.293079232693912,45.1669741451209,0.168393105365582,0.116382819015847,0.0195448985265499,"1","15"
"6",2022-03-28 16:00:00,29.7,46.0941353906033,8.03684125660272,0.63833416736169,0.125431470670003,0.0751226021684737,0.158330831248262,0.0528810119544064,0.11180956352516,0.0215793716986378,0.0103258270781207,2.17,4.3,267,18.063333333333,24.82,988.55833333333,0,3000,1.05010008340284,0.164690575479566,0.997219071448429,8.67517542396441,0.358884904086739,54.130976647206,0.200554072838476,0.164690575479566,0.0319051987767584,"1","16"
"7",2022-03-28 17:00:00,42.2,54.4524676118988,9.33900778426466,0.750750625521268,0.141973589102029,0.089969696969697,0.187144564915207,0.0656811231581874,0.147506255212677,0.0283817069780373,0.0131976647206005,1.5483333333333,2.6,252,16.373333333333,29.421666666667,988.16333333333,0,3000,1.23551959966639,0.213187378370865,1.1698384765082,10.0897584097859,0.419087850986934,63.7914753961635,0.231943286071726,0.213187378370865,0.0415793716986377,"1","17"
"8",2022-03-28 18:00:00,48.4,77.3665490686683,14.9872568807339,1.08396469279956,0.183251876563803,0.118668056713928,0.199799555184876,0.058179038087295,0.117729218793439,0.0214061718098415,0.00873616902974701,2.0866666666667,3.5,242,15.488333333333,31.345,987.89166666667,0,3000,1.64386321934946,0.175908256880734,1.58568418126216,16.0712215735335,0.501719488462608,92.3538059494023,0.301919933277731,0.175908256880734,0.0301423408395885,"1","18"
"9",2022-03-28 19:00:00,52.6,94.6287180984153,18.289673616903,1.22383736447039,0.197815401723659,0.117588268001112,0.207889074228524,0.0617892688351404,0.125989157631359,0.0225562969140951,0.010341673616903,1.4133333333333,2.7,275,14.808333333333,32.71,987.57,0,3000,1.80891937725883,0.1877784264665,1.74713010842369,19.5135109813734,0.523292743953294,112.918391715318,0.315403669724771,0.1877784264665,0.032897970530998,"1","19"
"10",2022-03-28 20:00:00,61.9,128.227331479422,25.3771501668521,1.65223025583982,0.266440767519466,0.160615684093437,0.287720800889878,0.087710233592881,0.172651835372636,0.0300114015572859,0.0129599555061179,0.58333333333333,1.5,315,13.02,36.536666666667,987.125,0,3000,2.45471774193548,0.260362068965517,2.3670075083426,27.0293804226919,0.714777252502781,153.604481646274,0.427056451612903,0.260362068965517,0.0429713570634038,"1","20"
"11",2022-03-28 21:00:00,63.2,154.199266055046,34.4691826522102,2.22718876841813,0.330774256324715,0.191342229635808,0.305933833750347,0.0811231581873784,0.155397831526272,0.024179038087295,0.0114442591048096,0.81833333333333,1.5,255,11.875,38.816666666667,986.595,0,3000,3.13636224631638,0.23652098971365,3.055239088129,36.6963714206283,0.82805031971087,188.668448707256,0.522116485960523,0.23652098971365,0.0356232971921045,"1","21"
"12",2022-03-28 22:00:00,60.2,186.741192104532,43.2299933277731,2.74216763969975,0.39613288851821,0.221986377536836,0.33345871559633,0.083533778148457,0.149395329441201,0.0234545454545455,0.00947011398387545,0.60833333333333,1.1,221,10.311666666667,42.73,985.95333333333,0,3000,3.77727939949958,0.232929107589658,3.69374562135113,45.9721609674729,0.951577981651376,229.971185432305,0.618119266055046,0.232929107589658,0.0329246594384209,"1","22"
